Std,[1.0015816688537598]
Mean,[0.1044086366891861]
Std,[1.007395625114441]
Mean,[0.1072457954287529]
Std,[1.0137921571731567]
Mean,[0.09291067719459534]
Std,[0.9403539896011353]
Mean,[0.16320739686489105]
Std,[0.9411181211471558]
Mean,[0.05559999868273735]
Std,[1.03228759765625]
Mean,[0.14624640345573425]
Std,[0.9462258815765381]
Mean,[0.2489674836397171]
Std,[0.9228411912918091]
Mean,[0.10032535344362259]
Std,[1.02743661403656]
Mean,[0.16121070086956024]
Std,[0.9799050688743591]
Mean,[0.2908971905708313]
Std,[0.9557123184204102]
Mean,[0.15620821714401245]
Std,[0.9908272624015808]
Mean,[0.14888641238212585]
Std,[1.0008665323257446]
Mean,[0.11007437109947205]
Std,[1.0227993726730347]
Mean,[0.19732880592346191]
Std,[0.8609439730644226]
Mean,[0.12489469349384308]
Std,[0.9371809959411621]
Mean,[0.22416771948337555]
Std,[0.9936760663986206]
Mean,[0.14343619346618652]
Std,[1.081984519958496]
Mean,[0.1723650097846985]
Std,[0.8989346027374268]
Mean,[0.21665532886981964]
Std,[0.8869345784187317]
Mean,[0.2415490299463272]
Std,[0.8984895348548889]
Mean,[0.22595560550689697]
Std,[0.9908456802368164]
Mean,[0.16105690598487854]
Std,[0.9780324101448059]
Mean,[0.00223696231842041]
Std,[0.9682538509368896]
Mean,[0.10502303391695023]
Std,[0.977921187877655]
Mean,[0.20771455764770508]
Std,[0.9231166839599609]
Mean,[0.20397497713565826]
Std,[0.9648919701576233]
Mean,[0.08627171814441681]
Std,[0.9855696558952332]
Mean,[0.1564164012670517]
Std,[0.9062456488609314]
Mean,[0.23777592182159424]
Std,[0.9332029223442078]
Mean,[0.19672614336013794]
Std,[0.949821412563324]
Mean,[0.18625256419181824]
Std,[0.9545855522155762]
Mean,[0.12606048583984375]
Std,[0.9894968271255493]
Mean,[0.14597997069358826]
Std,[0.988726019859314]
Mean,[0.12987671792507172]
Std,[1.0067274570465088]
Mean,[0.15801459550857544]
Std,[0.9686089158058167]
Mean,[0.18076424300670624]
Std,[0.9895744919776917]
Mean,[0.1744580864906311]
Std,[1.0172232389450073]
Mean,[0.13767004013061523]
Std,[0.9374614953994751]
Mean,[0.1291486769914627]
Std,[0.9902083873748779]
Mean,[0.15997299551963806]
Std,[1.0379363298416138]
Mean,[0.159849151968956]
Std,[0.9462403059005737]
Mean,[0.2050093561410904]
Std,[0.9445339441299438]
Mean,[0.1255793571472168]
Std,[1.0492725372314453]
Mean,[0.18268899619579315]
Std,[0.9948073029518127]
Mean,[0.2225959450006485]
Std,[0.917283296585083]
Mean,[0.1430414915084839]
Std,[0.9964773654937744]
Mean,[0.20296409726142883]
Std,[0.9933452606201172]
Mean,[0.25182491540908813]
Std,[0.8872503042221069]
Mean,[0.15813595056533813]
Std,[0.9686347246170044]
Mean,[0.0678410455584526]
Std,[0.9432666301727295]
Mean,[0.2545114755630493]
Std,[0.9207779765129089]
Mean,[0.160343736410141]
Std,[0.9693007469177246]
Mean,[0.21165898442268372]
Std,[0.9244692921638489]
Mean,[0.24914176762104034]
Std,[0.891982913017273]
Mean,[0.1663486659526825]
Std,[0.9481887221336365]
Mean,[0.2307288497686386]
Std,[1.069210171699524]
Mean,[0.15716730058193207]
Std,[0.918997049331665]
Mean,[0.1475975215435028]
Std,[0.919539213180542]
Mean,[0.16036705672740936]
Std,[1.0241460800170898]
Mean,[0.22037702798843384]
Std,[0.9429298639297485]
Mean,[0.3134719431400299]
Std,[0.8414149284362793]
Mean,[0.22455927729606628]
Std,[0.931801438331604]
Mean,[0.259735107421875]
Std,[1.0083457231521606]
Mean,[0.27081099152565]
Std,[0.9645373821258545]
Mean,[0.22927480936050415]
Std,[0.8765864968299866]
Mean,[0.14470671117305756]
Std,[0.9869864583015442]
Mean,[0.27811160683631897]
Std,[0.8065050840377808]
Mean,[0.35222670435905457]
Std,[0.8344482183456421]
Mean,[0.11112946271896362]
Std,[0.9868704080581665]
Mean,[0.12406465411186218]
Std,[0.9669475555419922]
Mean,[0.2898043990135193]
Std,[0.8597531914710999]
Mean,[0.21514791250228882]
Std,[0.9036845564842224]
Mean,[0.2174942046403885]
Std,[0.9150407910346985]
Mean,[0.26417553424835205]
Std,[0.8807008862495422]
Mean,[0.11670926213264465]
Std,[0.951509416103363]
Mean,[0.15449956059455872]
Std,[0.9591563940048218]
Mean,[0.1395103931427002]
Std,[0.9550611972808838]
Mean,[0.14809562265872955]
Std,[0.9141435623168945]
Mean,[0.2794419527053833]
Std,[0.9093542695045471]
Mean,[0.19043375551700592]
Std,[0.9192177057266235]
Mean,[0.26611804962158203]
Std,[1.0410951375961304]
Mean,[0.12326963245868683]
Std,[1.032027244567871]
Mean,[0.23986561596393585]
Std,[0.8984305262565613]
Mean,[0.24778878688812256]
Std,[0.8711919188499451]
Mean,[0.27088791131973267]
Std,[0.9450854659080505]
Mean,[0.30315259099006653]
Std,[0.9678776264190674]
Mean,[0.22473567724227905]
Std,[0.9717320203781128]
Mean,[0.13212984800338745]
Std,[1.0179007053375244]
Mean,[0.14517728984355927]
Std,[0.9789596199989319]
Mean,[0.3547438979148865]
Std,[0.8097807168960571]
Mean,[0.30307236313819885]
Std,[0.9121968150138855]
Mean,[0.2600021958351135]
Std,[0.9102916121482849]
Mean,[0.2413613647222519]
Std,[0.9973617196083069]
Mean,[0.238955557346344]
Std,[0.9192142486572266]
Mean,[0.19852501153945923]
Std,[0.939432680606842]
Mean,[0.3113875389099121]
Std,[0.9405931830406189]
Mean,[0.27600258588790894]
Std,[0.9698461294174194]
Mean,[0.27092868089675903]
Std,[0.881328284740448]
Mean,[0.22327381372451782]
Std,[0.9248318672180176]
Mean,[0.2292686402797699]
Std,[0.9833497405052185]
Mean,[0.30373236536979675]
Std,[0.8687372803688049]
Mean,[0.38710322976112366]
Std,[0.836178719997406]
Mean,[0.21531569957733154]
Std,[0.9689319133758545]
Mean,[0.27707919478416443]
Std,[0.9739468693733215]
Mean,[0.2888379693031311]
Std,[0.890745997428894]
Mean,[0.19566181302070618]
Std,[0.9234398007392883]
Mean,[0.24268785119056702]
Std,[0.8467625975608826]
Mean,[0.383440762758255]
Std,[0.7585916519165039]
Mean,[0.2927100360393524]
Std,[0.9597498178482056]
Mean,[0.22019651532173157]
Std,[0.9803223609924316]
Mean,[0.2409077137708664]
Std,[0.9274452924728394]
Mean,[0.26145392656326294]
Std,[0.8956921100616455]
Mean,[0.2797586917877197]
Std,[0.9660940170288086]
Mean,[0.41701436042785645]
Std,[0.8122377991676331]
Mean,[0.24276940524578094]
Std,[0.9354527592658997]
Mean,[0.22728154063224792]
Std,[0.8750746846199036]
Mean,[0.30087414383888245]
Std,[0.9367967247962952]
Mean,[0.25459009408950806]
Std,[0.8209988474845886]
Mean,[0.21125905215740204]
Std,[0.8772184252738953]
Mean,[0.4182015061378479]
Std,[0.8967674970626831]
Mean,[0.2978284955024719]
Std,[0.9850323796272278]
Mean,[0.3556782901287079]
Std,[0.9394000768661499]
Mean,[0.23872365057468414]
Std,[0.8621739745140076]
Mean,[0.31463098526000977]
Std,[0.9312630891799927]
Mean,[0.4206298291683197]
Std,[0.8690623044967651]
Mean,[0.3984021246433258]
Std,[0.8901796340942383]
Mean,[0.2572653889656067]
Std,[0.9736154079437256]
Mean,[0.3322039544582367]
Std,[0.8758180737495422]
Mean,[0.4373663663864136]
Std,[0.8232807517051697]
Mean,[0.4330928921699524]
Std,[0.8266522884368896]
Mean,[0.34159839153289795]
Std,[0.8849379420280457]
Mean,[0.39274847507476807]
Std,[0.8213045001029968]
Mean,[0.312528133392334]
Std,[0.9458127021789551]
Mean,[0.36100584268569946]
Std,[0.8305206894874573]
Mean,[0.3291357159614563]
Std,[0.8871906995773315]
Mean,[0.3529921770095825]
Std,[0.8489257097244263]
Mean,[0.35335075855255127]
Std,[0.7945441007614136]
Mean,[0.4332394301891327]
Std,[0.857265830039978]
Mean,[0.25268492102622986]
Std,[0.9640341997146606]
Mean,[0.33732014894485474]
Std,[0.9200471043586731]
Mean,[0.3397201597690582]
Std,[0.789028525352478]
Mean,[0.2988559603691101]
Std,[0.8153955936431885]
Mean,[0.45736974477767944]
Std,[0.8320525288581848]
Mean,[0.38540658354759216]
Std,[0.8201899528503418]
Mean,[0.3766016960144043]
Std,[0.9290693402290344]
Mean,[0.2990405559539795]
Std,[0.8851610422134399]
Mean,[0.3249562978744507]
Std,[0.8319612741470337]
Mean,[0.4439722001552582]
Std,[0.8803219795227051]
Mean,[0.40383875370025635]
Std,[0.7944285273551941]
Mean,[0.3804476261138916]
Std,[0.7880204916000366]
Mean,[0.31321021914482117]
Std,[0.898622989654541]
Mean,[0.3058552145957947]
Std,[0.9453880786895752]
Mean,[0.3981357216835022]
Std,[0.7903761863708496]
Mean,[0.33609670400619507]
Std,[0.8221549987792969]
Mean,[0.3130369186401367]
Std,[0.8985153436660767]
Mean,[0.43544909358024597]
Std,[0.7710992097854614]
Mean,[0.4040948450565338]
Std,[0.8268930912017822]
Mean,[0.3178345561027527]
Std,[0.8951770663261414]
Mean,[0.39999106526374817]
Std,[0.8052718043327332]
Mean,[0.5204314589500427]
Std,[0.847282350063324]
Mean,[0.3669276833534241]
Std,[0.9988395571708679]
Mean,[0.3743738830089569]
Std,[0.7660973072052002]
Mean,[0.40088191628456116]
Std,[0.7561901807785034]
Mean,[0.3716580271720886]
Std,[0.9071351289749146]
Mean,[0.47662845253944397]
Std,[0.8027747869491577]
Mean,[0.4134552776813507]
Std,[0.8102680444717407]
Mean,[0.26341545581817627]
Std,[0.8807511329650879]
Mean,[0.31913554668426514]
